id,province,Economic aggregate,Threetune population,Wind direction,Global radiation,Urbanization rate,Passenger volume,CLOSE,OPEN,Confirmed numbers,,latitude,longitude
,重庆,25003,32054159,166.7863522,166.785945,0.67,60153,2265,2102,5,,29.63,107.51
,浙江,64613,64567588,152.4756125,166.0378848,0.7,101893,2692,1675,65,,29.28,120.15
,云南,24522,47209277,163.5225555,164.9545951,0.49,38381,1923,2444,669,,24.84,101.71
,新疆,13798,25852345,174.3505839,142.6145965,0.52,20276,1684,2683,0,,40.79,86.61
,香港,23662,7097600,196.5761392,162.8967071,1,7129,2531,1836,232,,22.32,114.17
,西藏,1903,3648100,185.8717655,164.0626529,0.32,1365,3589,778,0,,30.66,89.13
,天津,14084,13866009,168.9102359,165.9313531,0.83,17679,2609,1758,71,,39.52,117.04
,台湾,46138,23162123,166.4071445,163.6659091,0.8,115000,1742,2625,7427,,23.54,121.01
,四川,48599,83674866,168.8094802,163.5593302,0.54,91668,2275,2092,163,,30.65,103.36
,上海,38701,24870895,166.1476986,171.5194115,0.88,16442,2719,1648,370,,31.28,121.46
,陕西,26182,39528999,132.0950309,172.6515471,0.59,70761,3012,1355,56,,34.46,108.94
,山西,17652,34915616,127.6331578,195.0926006,0.6,22305,3838,529,3,,37.65,111.95
,山东,73129,101527453,171.7971147,149.7706025,0.62,68920,3805,562,40,,36.37,118.01
,青海,3006,5923957,173.0588505,167.3668974,0.56,6313,2011,2356,0,,35.62,97.07
,宁夏,3921,7202654,163.0345775,207.4669569,0.6,5754,3605,762,1,,36.76,106.27
,内蒙古,17360,24049155,158.2528051,192.0811855,0.63,12158,3633,734,26,,42.81,112.17
,辽宁,25115,42591407,112.1028166,196.7555297,0.68,70266,2248,2119,18,,41.29,123.42
,江西,25692,45188635,119.2603618,193.836194,0.57,58069,2224,2143,0,,27.97,115.89
,江苏,102719,84748016,159.5062972,186.2243098,0.71,120298,2230,2137,859,,32.54,120.26
,吉林,12311,24073453,151.8435997,177.4512098,0.58,31599,1631,2736,1,,43.38,126.32
,湖南,41781,66444864,87.70066774,116.5253046,0.57,101428,3142,1201,130,,27.79,112.08
,湖北,43443,57752557,217.277458,98.42356159,0.61,87432,3006,1337,130,,30.98,112.29
,黑龙江,13699,31850088,158.8176376,112.566583,0.61,29751,2986,1357,2,,47.05,128.34
,河南,54997,99365519,138.2466037,114.9262602,0.53,109297,1487,2855,211,,34.25,113.46
,河北,36207,74610235,162.9127331,103.771531,0.58,44733,2246,2097,0,,38.44,115.21
,海南,5532,10081232,161.7365876,105.7079505,0.59,14187,2276,2067,2,,19.33,110.03
,贵州,17827,38562148,98.19065162,120.6456763,0.49,93756,2384,1959,0,,26.67,106.91
,广西,22157,50126804,155.9661524,119.5926723,0.51,47085,2176,2167,14,,23.68,108.67
,广东,110761,126012510,161.669353,93.92132904,0.71,142326,3205,1138,595,,22.82,113.98
,甘肃,9017,25019831,159.79277,110.0975107,0.48,42133,1890,2453,5,,36.05,103.82
,福建,43904,41540086,161.5811651,108.1794333,0.67,45761,2542,1801,165,,26.07,118.31
,北京,36103,21893095,74.45014967,78.388309,0.87,62977,3564,779,56,,40.4,116.4
,澳门,1427,552300,165.9714483,90.38725789,1,960,2479,1863,12,,22.19,113.54
,安徽,38681,61027171,157.8970758,96.26207691,0.56,59275,2140,2203,4,,31.86,117.28
